61,Never-worked,77516,Preschool,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,16,Mexico, <=50K
68,Private,544091,Doctorate,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,10,Mexico, <=50K
74,State-gov,84154,1st-4th,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,17,Mexico, >50K
76,State-gov,265477,Preschool,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,5,Mexico, <=50K
69,State-gov,507875,1st-4th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,6,Mexico, <=50K
70,Private,88506,Preschool,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,19,United-States, <=50K
73,State-gov,172987,1st-4th,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,20,India, <=50K
78,Private,94638,1st-4th,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,3,Mexico, <=50K
76,Never-worked,289980,Preschool,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,13,India, <=50K
79,Never-worked,337895,Doctorate,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,17,Mexico, >50K
65,State-gov,144361,Doctorate,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,18,United-States, <=50K
76,Never-worked,128354,Preschool,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,15,India, <=50K
78,Never-worked,101603,Preschool,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10,Mexico, <=50K
71,Never-worked,271466,1st-4th,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,11,Mexico, <=50K
74,Private,32275,1st-4th,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,19,India, <=50K
71,State-gov,226956,1st-4th,9, Never-married, Other-service, Own-child, White, Female,0,0,5,India, <=50K
69,State-gov,51835,1st-4th,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,12,India, >50K
75,Never-worked,251585,1st-4th,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,13,Mexico, >50K
67,Never-worked,109832,Doctorate,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,27,India, <=50K
66,State-gov,237993,1st-4th,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,6,Mexico, >50K
72,Private,216666,1st-4th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,17,United-States, <=50K
62,State-gov,56352,1st-4th,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,14,India, <=50K
68,Private,147372,Preschool,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,15,United-States, <=50K
67,State-gov,188146,Doctorate,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,20,India, <=50K
75,State-gov,59496,Doctorate,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,18,Mexico, <=50K
79,Private,293936,Doctorate,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,24,Mexico, <=50K
75,State-gov,149640,Doctorate,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,5,United-States, <=50K
67,Never-worked,116632,Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,26,United-States, >50K
70,Private,105598,Doctorate,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,13,United-States, <=50K
79,State-gov,155537,1st-4th,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,6,Mexico, <=50K
64,Never-worked,183175,Preschool,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,7,United-States, <=50K
71,Private,169846,Preschool,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,14,Mexico, >50K
62,Private,191681,1st-4th,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,16,Mexico, >50K
70,Private,200681,Doctorate,10, Never-married, ?, Own-child, White, Male,0,0,13,India, <=50K
70,Never-worked,101509,1st-4th,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,13,India, <=50K
73,Private,309974,Doctorate,13, Separated, Sales, Own-child, Black, Female,0,0,11,United-States, <=50K
62,Never-worked,162298,1st-4th,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,9,United-States, >50K
73,State-gov,211678,Preschool,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,12,Mexico, <=50K
77,State-gov,124744,Doctorate,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,8,India, <=50K
61,Never-worked,213921,Preschool,9, Never-married, Other-service, Own-child, White, Male,0,0,18,Mexico, <=50K
77,State-gov,32214,Doctorate,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,13,United-States, <=50K
61,State-gov,212759,Doctorate,6, Married-civ-spouse, ?, Husband, White, Male,0,0,8,United-States, <=50K
62,Private,309634,Preschool,7, Never-married, Other-service, Own-child, White, Female,0,0,24,Mexico, <=50K
61,Never-worked,125927,1st-4th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20,Mexico, <=50K
72,Never-worked,446839,Doctorate,9, Never-married, Sales, Not-in-family, White, Male,0,0,14,Mexico, <=50K
63,Private,276515,Doctorate,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,15,Mexico, <=50K
78,Private,51618,Preschool,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,18,United-States, <=50K
67,Never-worked,159937,Preschool,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,10,United-States, <=50K
76,Private,343591,Doctorate,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,9,India, >50K
77,State-gov,346253,1st-4th,9, Divorced, Sales, Own-child, White, Female,0,0,4,Mexico, <=50K
71,Never-worked,268234,1st-4th,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,10,Mexico, >50K
69,Private,202051,Doctorate,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,21,India, <=50K
72,Private,54334,Doctorate,5, Never-married, Sales, Not-in-family, White, Male,0,0,13,United-States, <=50K
76,Never-worked,410867,Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,21,United-States, >50K
63,State-gov,249977,Preschool,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,18,Mexico, <=50K
79,Never-worked,286730,1st-4th,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,21,India, <=50K
68,Never-worked,212563,Doctorate,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,20,United-States, <=50K
62,Private,117747,1st-4th,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,13,Mexico, <=50K
77,State-gov,226296,1st-4th,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,8,India, >50K
63,Never-worked,115585,1st-4th,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,13,India, <=50K
73,State-gov,191277,Preschool,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,14,United-States, >50K
70,Never-worked,202683,Preschool,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,15,Mexico, >50K
79,Private,171095,1st-4th,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,13,United-States, <=50K
60,Never-worked,249409,Doctorate,9, Never-married, Other-service, Own-child, Black, Male,0,0,13,Mexico, <=50K
64,Never-worked,124191,1st-4th,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20,Mexico, >50K
72,Never-worked,198282,Doctorate,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,24,United-States, >50K
68,State-gov,149116,Doctorate,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20,India, <=50K
68,Private,188300,Doctorate,10, Never-married, Tech-support, Own-child, White, Female,0,0,9,United-States, <=50K
62,Private,103432,1st-4th,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,18,Mexico, <=50K
68,Private,317660,Doctorate,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,16,Mexico, >50K
71,Never-worked,304873,Preschool,6, Never-married, ?, Own-child, White, Female,34095,0,21,Mexico, <=50K
72,State-gov,194901,1st-4th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,18,Mexico, <=50K
68,Private,189265,Doctorate,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,17,Mexico, <=50K
65,Private,124692,Preschool,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,15,India, <=50K
75,Private,432376,Preschool,13, Never-married, Sales, Other-relative, White, Male,0,0,11,Mexico, <=50K
74,State-gov,65324,Doctorate,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,14,Mexico, >50K
73,Never-worked,335605,Doctorate,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,15,Mexico, >50K
62,Private,377869,1st-4th,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,10,United-States, <=50K
64,Never-worked,102864,Doctorate,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,16,United-States, <=50K
62,State-gov,95647,Doctorate,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,6,United-States, <=50K
76,Private,303090,Preschool,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,14,India, <=50K
78,Never-worked,197371,Doctorate,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,14,India, >50K
79,Private,247552,Doctorate,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,23,United-States, <=50K
60,Never-worked,102632,1st-4th,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,12,United-States, <=50K
60,State-gov,199915,1st-4th,10, Never-married, Other-service, Own-child, White, Female,0,0,17,Mexico, <=50K
62,Private,118853,Doctorate,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,19,India, <=50K
76,Private,77143,1st-4th,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,9,Mexico, <=50K
63,State-gov,267989,Preschool,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,6,United-States, >50K
62,Private,301606,1st-4th,10, Never-married, Other-service, Own-child, Black, Male,0,0,17,Mexico, <=50K
71,Never-worked,287828,1st-4th,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,13,Mexico, >50K
72,Never-worked,111697,1st-4th,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,8,United-States, <=50K
73,Never-worked,114937,Doctorate,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,16,United-States, >50K
64,Private,129305,1st-4th,9, Married-civ-spouse, ?, Husband, White, Male,0,0,11,Mexico, <=50K
61,Private,365739,1st-4th,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,15,India, <=50K
79,Private,69621,1st-4th,12, Never-married, Sales, Not-in-family, White, Female,0,0,17,Mexico, <=50K
70,Never-worked,43323,1st-4th,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,20,Mexico, <=50K
67,Never-worked,120985,1st-4th,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,14,Mexico, <=50K
74,Private,254202,1st-4th,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,18,United-States, <=50K
74,Private,146195,Doctorate,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,13,India, <=50K
71,Never-worked,125933,Preschool,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,15,India, >50K
75,Never-worked,56920,1st-4th,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20,India, <=50K
73,Never-worked,163127,1st-4th,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,10,Mexico, <=50K
66,Never-worked,34310,Preschool,10, Never-married, Sales, Own-child, White, Male,0,0,12,Mexico, <=50K
66,Never-worked,81973,1st-4th,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,19,India, >50K
75,Never-worked,66614,Doctorate,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,17,Mexico, <=50K
74,State-gov,232782,Doctorate,10, Never-married, Sales, Own-child, White, Female,0,0,15,United-States, <=50K
76,Private,316868,Preschool,10, Never-married, Other-service, Own-child, White, Male,0,0,15,India, <=50K
64,State-gov,196584,1st-4th,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,9,United-States, >50K
74,Never-worked,105376,Preschool,10, Never-married, Tech-support, Other-relative, White, Male,0,0,11,United-States, <=50K
73,Private,185814,Doctorate,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,9,United-States, <=50K
67,Never-worked,175374,1st-4th,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,8,India, <=50K
69,State-gov,108293,Doctorate,9, Widowed, Other-service, Unmarried, White, Female,0,0,18,India, <=50K
72,State-gov,181232,Doctorate,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,8,Mexico, <=50K
64,Never-worked,174662,Preschool,10, Divorced, ?, Not-in-family, White, Female,0,0,9,United-States, <=50K
61,State-gov,186009,1st-4th,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,24,India, <=50K
79,Never-worked,198183,Doctorate,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,21,United-States, <=50K
63,Private,163003,Preschool,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,13,United-States, <=50K
67,State-gov,296158,Doctorate,9, Never-married, Craft-repair, Own-child, White, Male,0,0,11,Mexico, <=50K
76,Private,252903,Preschool,9, Divorced, ?, Not-in-family, White, Male,0,0,20,United-States, >50K
71,Private,187715,1st-4th,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,16,United-States, <=50K
71,Never-worked,214542,Preschool,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,14,United-States, <=50K
73,Never-worked,494223,Preschool,10, Separated, Sales, Unmarried, Black, Male,0,1816,17,India, <=50K
60,Private,191535,Doctorate,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,7,Mexico, <=50K
60,Private,228456,Preschool,13, Separated, Other-service, Other-relative, Black, Male,0,0,10,United-States, <=50K
73,State-gov,38317,Preschool,2, Divorced, ?, Not-in-family, White, Female,0,0,18,Mexico, <=50K
73,Never-worked,252752,1st-4th,9, Never-married, Other-service, Unmarried, White, Female,0,0,12,United-States, <=50K
68,State-gov,78374,1st-4th,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,13,Mexico, <=50K
73,State-gov,88419,1st-4th,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,7,United-States, <=50K
61,State-gov,201080,1st-4th,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,15,United-States, >50K
70,Private,207157,Preschool,10, Divorced, Other-service, Unmarried, White, Female,0,0,3,India, <=50K
67,Private,235485,1st-4th,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,14,Mexico, <=50K
75,Private,102628,1st-4th,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,5,Mexico, <=50K
71,Private,25828,Preschool,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15,Mexico, <=50K
70,Never-worked,54826,1st-4th,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,22,India, <=50K
61,Private,124953,Doctorate,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,22,India, <=50K
66,Never-worked,175325,Doctorate,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,27,United-States, <=50K
73,State-gov,96062,Preschool,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,15,United-States, >50K
78,Private,428030,Doctorate,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,9,Mexico, <=50K
68,Private,149624,Doctorate,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,19,United-States, >50K
68,Never-worked,253814,Doctorate,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,17,Mexico, <=50K
73,State-gov,312956,1st-4th,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,14,Mexico, <=50K
69,State-gov,483777,1st-4th,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,11,United-States, <=50K
79,Never-worked,183930,Doctorate,9, Never-married, Other-service, Own-child, White, Male,0,0,9,India, <=50K
65,Private,37274,1st-4th,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,13,India, <=50K
67,State-gov,181344,Preschool,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,15,United-States, >50K
68,Private,114580,1st-4th,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,14,United-States, <=50K
71,Never-worked,633742,1st-4th,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,16,Mexico, <=50K
62,Never-worked,286370,Doctorate,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,17,Mexico, >50K
63,Never-worked,29054,1st-4th,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,20,United-States, >50K
66,State-gov,304030,Doctorate,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,14,United-States, <=50K
61,Never-worked,143129,Doctorate,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,17,Mexico, <=50K
79,State-gov,135105,1st-4th,13, Divorced, ?, Not-in-family, White, Female,0,0,9,India, <=50K
78,Never-worked,99928,Preschool,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,9,Mexico, <=50K
73,Never-worked,109567,Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,16,India, >50K
72,Never-worked,155222,1st-4th,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,18,India, <=50K
75,Private,159567,Doctorate,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,11,Mexico, <=50K
62,State-gov,523910,Doctorate,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,5,Mexico, <=50K
72,State-gov,120939,1st-4th,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,17,India, <=50K
74,Never-worked,130760,Doctorate,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,16,India, <=50K
77,Never-worked,197387,Preschool,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,21,India, <=50K
62,State-gov,99374,Preschool,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,10,Mexico, <=50K
67,Private,56795,Doctorate,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,16,India, >50K
61,Never-worked,138992,1st-4th,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,9,United-States, >50K
79,Never-worked,32921,Preschool,9, Never-married, Sales, Not-in-family, White, Male,0,0,6,United-States, <=50K
68,Private,397317,Preschool,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,18,United-States, <=50K
68,Private,170653,Preschool,9, Never-married, ?, Own-child, White, Male,0,0,13,India, <=50K
62,Private,259323,1st-4th,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,16,India, >50K
67,Private,254817,1st-4th,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,17,Mexico, <=50K
63,Never-worked,48211,Preschool,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,15,India, <=50K
73,Private,140164,Preschool,7, Never-married, Sales, Own-child, White, Female,0,0,13,United-States, <=50K
70,State-gov,128757,1st-4th,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,11,Mexico, >50K
64,Never-worked,36270,Preschool,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,21,United-States, <=50K
61,State-gov,210563,1st-4th,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,14,United-States, >50K
74,Never-worked,65368,Doctorate,7, Never-married, Sales, Own-child, White, Female,0,0,12,United-States, <=50K
73,Private,160943,Doctorate,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,15,Mexico, <=50K
79,Never-worked,208358,1st-4th,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,13,Mexico, >50K
67,Never-worked,153790,Doctorate,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10,India, <=50K
74,Never-worked,85815,Preschool,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,15,United-States, <=50K
74,Private,125417,1st-4th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,24,United-States, >50K
67,Never-worked,635913,1st-4th,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,16,India, >50K
74,Private,313321,1st-4th,12, Divorced, Sales, Not-in-family, White, Female,0,0,13,India, <=50K
62,Private,182609,Doctorate,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,21,United-States, <=50K
65,State-gov,109434,1st-4th,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,19,United-States, <=50K
65,Private,255004,Preschool,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,16,United-States, <=50K
76,Never-worked,197860,1st-4th,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,20,India, <=50K
79,Private,187656,Doctorate,2, Divorced, ?, Not-in-family, White, Male,0,0,8,India, <=50K
68,Private,51744,Doctorate,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,20,India, <=50K
64,State-gov,176681,Doctorate,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,16,Mexico, <=50K
64,Private,140359,Doctorate,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,13,India, <=50K
77,Never-worked,243313,Doctorate,9, Never-married, Sales, Own-child, White, Female,0,0,11,India, <=50K
76,Never-worked,24215,Doctorate,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,16,United-States, <=50K
60,Never-worked,167687,1st-4th,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,16,India, <=50K
78,Private,314209,Doctorate,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,6,Mexico, <=50K
68,Never-worked,176796,Doctorate,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,9,India, <=50K
67,Private,538583,1st-4th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,19,India, <=50K
73,Never-worked,130408,1st-4th,9, Divorced, Sales, Unmarried, Black, Female,0,0,8,India, <=50K
63,Never-worked,159732,Doctorate,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,19,United-States, <=50K
75,State-gov,110978,1st-4th,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,21,India, <=50K
76,Never-worked,76714,Preschool,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,16,United-States, >50K
61,State-gov,268700,Doctorate,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,10,United-States, <=50K
72,Never-worked,170525,Doctorate,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,9,India, <=50K
72,Private,180138,1st-4th,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,17,India, >50K
77,Never-worked,115076,Preschool,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,21,United-States, >50K
78,Private,115458,1st-4th,9, Never-married, Transport-moving, Own-child, White, Male,0,0,24,United-States, <=50K
73,Private,347890,Preschool,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,11,United-States, >50K
69,State-gov,196001,Preschool,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,9,Mexico, <=50K
73,Never-worked,273905,Doctorate,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,5,India, <=50K
71,State-gov,119156,Preschool,10, Never-married, ?, Own-child, White, Male,0,0,6,United-States, <=50K
